Author,Paragraph
"Barrie, J. M. (James Matthew)","""I have been troubled in my mind since then,"" he said, ""because I was
told afterwards that I had made a mistake about the proper dose. If you
try the cio-root, don't take half an inch, as I recommended, but quarter
of an inch. Don't forget. It is of vital importance."""
"Balzac, Honoré de","The Duchess
My son ungrateful?"
"Balzac, Honoré de","The Duke
It is astonishing that you should leave the very hour your mistress
must need your services; she is getting up."
"Balzac, Honoré de","Vautrin
My acquaintance is limited to a father and an uncle--(to Raoul) You
have not even the mournful satisfaction of remembering your mother.
(To the Duchess) She died in Mexico, shortly after her marriage."
"Balzac, Honoré de","The Duke
Once more I say, silence!"
"Balzac, Honoré de","Saint-Charles
Raoul de Frescas."
"Baum, L. Frank (Lyman Frank)",
"Balzac, Honoré de","Raoul
And do you think that I will consent to such villainies? Never!"
"Balzac, Honoré de","Felicite (entering the room)
His grace the duke has come in with his lordship the marquis."
"Barrie, J. M. (James Matthew)","Then they get Janet to tell them all my little ""tantrums"" (as she calls
them), and she holds forth on my habit of mislaying my hat and then
blaming her, or on how I hate rice pudding, or on the way I have worn
the carpet by walking up and down the floor when I would be more
comfortable in a chair. Now and again I have wound myself up to the
point of reproving Janet when the guest had gone, but the result is that
she tells her select friends how ""quick in the temper"" I am. So Janet
must remain as she has grown and it is gratifying to me (though don't
let on) to know that she turns up her nose at every other minister who
preaches in my church. Janet is always afraid when I go off for a
holiday that the congregations in the big towns will ""snap me up."" It is
pleasant to feel that she has this opinion of me, though I know that the
large congregations do not share it."
"Baum, L. Frank (Lyman Frank)","""Close up, submerge and carry us to the basement door of the sunken
island--the door from which you emerged at the command of Queen
Coo-ee-oh."""
"Baum, L. Frank (Lyman Frank)","Ozma shook her head, to indicate that the advice was not to her
satisfaction."
"Balzac, Honoré de",
"Balzac, Honoré de","Saint-Charles
Come, baron, since we are speaking freely to each other to-day, I for
my part must confess that your admirable Pole--"
"Austen, Jane","After having attended my lamented freind to her Early Grave, I
immediately (tho’ late at night) left the detested Village in which she
died, and near which had expired my Husband and Augustus. I had not
walked many yards from it before I was overtaken by a stage-coach, in
which I instantly took a place, determined to proceed in it to
Edinburgh, where I hoped to find some kind some pitying Freind who
would receive and comfort me in my afflictions."
"Austen, Jane",
"Balzac, Honoré de","
SCENE FIRST.
(Drawing-room of the Duchesse de Christoval.)
The Duchesse de Christoval and Inez."
"Baum, L. Frank (Lyman Frank)","""But how can we raise the island?"""
"Austen, Jane",A Collection of Juvenile Writings
"Balzac, Honoré de","
SCENE SIXTEENTH.
The same persons, Raoul and Lafouraille. (The last named does not
tarry.)"
"Balzac, Honoré de","Lafouraille
But then something else happened. That Blondet heard of my devotion,
he traced me out and found me in the neighborhood of Mortagne, where
my master was at the house of one of my uncles waiting for a chance to
reach the sea. The noodle offered me as much money as he had already
given me. I saw before me an honest life for the rest of my days; and
I was weak. My friend Blondet caused the viscount to be shot as a spy;
and my uncle and myself were imprisoned as his accomplices. We were
not released until I had disgorged all my gold."
"Austen, Jane",
"Balzac, Honoré de","Vautrin (calling from outside)
Lafouraille!"
"Balzac, Honoré de","Lafouraille
I am at your service."
"Austen, Jane",By Jane Austen
"Barrie, J. M. (James Matthew)","""I'm cheated,"" said Janet, ""if she ever sets eyes on him again. Oh, we
all ken what sailors are."""
"Baum, L. Frank (Lyman Frank)","
As soon as they had breakfasted the next morning, Glinda and the Wizard
and the three Adepts went down to the shore of the lake and formed a
line with their faces toward the submerged island. All the others came
to watch them, but stood at a respectful distance in the background."
"Austen, Jane","“You are extremely obliging Ma’am—said she—and I am highly flattered by
your attention to me—But I am in no difficulty, no doubt, no
uncertainty of situation in which any advice can be wanted. Whenever I
am however continued she brightening into a complaisant smile, I shall
know where to apply.”"
"Barrie, J. M. (James Matthew)","Cocky, as has been seen, got the book from Urquhart, but when it came to
the point, Jenkinson was reluctant to part with the one and sixpence. In
this extremity Cocky appealed to Robbins, who at once got hold of Dicky
and threatened to slaughter him if he did not keep to his bargain. Thus
frightened, Jenkinson bought the book."
"Balzac, Honoré de","The Duchess
Gifted with manners which are never acquired, but innate."
"Balzac, Honoré de","Joseph (alone)
The cursed white mark appears this evening on the wicket side of the
garden. Things cannot go on long in this way; the devil only knows how
it will end. I prefer seeing him there, however, rather than in the
apartments; the garden is at least away from the house, and when the
warning comes, one can walk out to meet him."
"Austen, Jane","
Portman Square April 13th"
"Baum, L. Frank (Lyman Frank)",
"Alcott, Louisa May","A little of the talk reached Emily and both amused and annoyed her, for
it proved that the country people were not as stupid as they looked."
"Austen, Jane","
LETTER the SEVENTH
From Miss C. LUTTERELL to Miss M. LESLEY"
"Balzac, Honoré de","Philosopher
Tell me, is he one of our kind?"
"Balzac, Honoré de","The Duchess
If I shake off the disgrace with which he has tried to cover me, if I
give up shedding tears in silence, be assured that nothing can bend me
from my purpose. I am no longer in Spain or England, at the mercy of a
diplomat crafty as a tiger, who during the whole time of our
emigration was reading the thoughts of my heart's inmost recesses, and
with invisible spies surrounding my life as by a network of steel;
turning my secrets into jailers, and keeping me prisoner in the most
horrible of prisons, an open house! I am in France, I have found you
once more, I hold my place at court, I can speak my mind there; I
shall learn what has become of the Vicomte de Langeac, I should prove
that since the Tenth of August[*] we have never met, I shall inform
the king of the crime committed by a father against a son who is the
heir of two noble houses. I am a woman, I am Duchesse de Montsorel, I
am a mother! We are rich, we have a virtuous priest for an adviser;
right is on our side, and if I have demanded the certificate of my
son's birth--"
"Austen, Jane","
THE FEMALE PHILOSOPHER"
"Balzac, Honoré de","
SCENE FOURTEENTH.
The same persons, the Duke, Lafouraille, Buteux, Saint-Charles, and
all the domestics."
"Balzac, Honoré de","Fil-de-Soie
Is it some one burning with curiosity?"
"Baum, L. Frank (Lyman Frank)","""I can think of no reason at all,"" he replied."
"Balzac, Honoré de","The Duchess
I allowed the duke to present this Albert, child of a Spanish
courtesan, as if he were mine. The duke desired an heir. Amid the
confusion wrought in Spain by the French Revolution the trick escaped
notice. Are you surprised that my blood boils at the sight of this
strange woman's child occupying the place of the lawful heir?"
"Austen, Jane","You could not have applied for information concerning the report of Sir
George Lesleys Marriage, to any one better able to give it you than I
am. Sir George is certainly married; I was myself present at the
Ceremony, which you will not be surprised at when I subscribe myself
your"
"Barrie, J. M. (James Matthew)","""I told you at that time,"" he said, ""about a new drug called the
cio-root, which had a great reputation for curing headaches."""
"Baum, L. Frank (Lyman Frank)","Then they saw that it was a bridge, consisting of a steel footway just
broad enough to walk on, and two slender guide rails, one on either
side, which were connected with the footway by steel bars. The bridge
looked rather frail and Dorothy feared it would not bear their weight,
but Ozma at once called, ""Come on!"" and started to walk across, holding
fast to the rail on either side. So Dorothy summoned her courage and
followed after. Before Ozma had taken three steps she halted and so
forced Dorothy to halt, for the bridge was again moving and returning
to the island."
"Baum, L. Frank (Lyman Frank)",The Magic Isle
"Balzac, Honoré de","Vautrin
Your son, our son--yes--have you not perceived that he is as pure as
an angel?"
"Baum, L. Frank (Lyman Frank)","The Su-dic turned to where Ozma and Dorothy had stood but they had
vanished!"
"Baum, L. Frank (Lyman Frank)","By this time the top of the dome was quite under water and suddenly the
island stopped sinking and became stationary."
"Balzac, Honoré de","The Marquis
You have put them out, mother, and I share your impression of this man
(he indicated Vautrin); but only a woman has the right to express her
thoughts in a way to expose this frightful imposture."
"Barrie, J. M. (James Matthew)","""A hard life, indeed!"""
"Balzac, Honoré de","Vautrin (to the Duchesse de Montsorel)
What shall I say to you? (to Raoul) Remember, my lord marquis, that I
have, in advance, absolved you from all charge of ingratitude. (To the
duchess) The child will forget me; will the mother also?"
"Baum, L. Frank (Lyman Frank)",Lady Aurex brightened at this.
"Baum, L. Frank (Lyman Frank)","""No; even had Queen Coo-ee-oh left her the four cans of brains, poor
Rora, in a pig's shape, couldn't do any witchcraft. A witch has to use
her fingers, and a pig has only cloven hoofs."""
"Barrie, J. M. (James Matthew)","
     ""DEAR MISS ----:"
"Baum, L. Frank (Lyman Frank)","""What then, my friends, would you suggest?"" inquired Ozma."
"Baum, L. Frank (Lyman Frank)",
"Baum, L. Frank (Lyman Frank)","""But you are curious? You hope to witness some of my magic
transformations?"""
"Baum, L. Frank (Lyman Frank)","""We can try,"" insisted Dorothy. ""If it can be made to go down, it can
be made to come up. The machinery is still here, I suppose."
"Barrie, J. M. (James Matthew)","""Is that you back, Marion?"""
"Balzac, Honoré de","Vautrin
And what is the cause of your despair?"
"Austen, Jane","
We remained but a few days after our Marriage, in the Vale of Uske.
After taking an affecting Farewell of my Father, my Mother and my
Isabel, I accompanied Edward to his Aunt’s in Middlesex. Philippa
received us both with every expression of affectionate Love. My arrival
was indeed a most agreable surprise to her as she had not only been
totally ignorant of my Marriage with her Nephew, but had never even had
the slightest idea of there being such a person in the World."
"Baum, L. Frank (Lyman Frank)","""Dorothy is right, your Majesty,"" asserted the Sorceress. ""It is true
we know nothing of these faraway subjects, except that they intend to
fight one another, and have a certain amount of magic power at their
command. Such folks do not like to submit to interference and they are
more likely to resent your coming among them than to receive you kindly
and graciously, as is your due."""
"Baum, L. Frank (Lyman Frank)","""I have thought of those fishes,"" replied Glinda, ""but among so many
fishes as this lake contains how are we to single them out?"""
"Barrie, J. M. (James Matthew)","""That was the day he hit me. He is awfully angry if I make him a girl,
silly boy. Of course he doesn't understand."""
"Balzac, Honoré de","Raoul
If you love me, why do you mock me thus in the hour of my despair?"
"Balzac, Honoré de","The Duchess
If I oppose this unreasonable match, it is certainly not for the
purpose of making another with a designing family."
"Balzac, Honoré de","Buteux
It is no use being vexed with this man. Do you wish me to restore the
opera-glass? I intended it for Adele!"
"Austen, Jane","In the first place you are to learn that I have met your sisters three
freinds Lady Lesley and her Daughters, twice in Public since I have
been here. I know you will be impatient to hear my opinion of the
Beauty of three Ladies of whom you have heard so much. Now, as you are
too ill and too unhappy to be vain, I think I may venture to inform you
that I like none of their faces so well as I do your own. Yet they are
all handsome—Lady Lesley indeed I have seen before; her Daughters I
beleive would in general be said to have a finer face than her
Ladyship, and yet what with the charms of a Blooming complexion, a
little Affectation and a great deal of small-talk, (in each of which
she is superior to the young Ladies) she will I dare say gain herself
as many admirers as the more regular features of Matilda, and Margaret.
I am sure you will agree with me in saying that they can none of them
be of a proper size for real Beauty, when you know that two of them are
taller and the other shorter than ourselves. In spite of this Defect
(or rather by reason of it) there is something very noble and majestic
in the figures of the Miss Lesleys, and something agreably lively in
the appearance of their pretty little Mother-in-law. But tho’ one may
be majestic and the other lively, yet the faces of neither possess that
Bewitching sweetness of my Eloisas, which her present languor is so far
from diminushing. What would my Husband and Brother say of us, if they
knew all the fine things I have been saying to you in this letter. It
is very hard that a pretty woman is never to be told she is so by any
one of her own sex without that person’s being suspected to be either
her determined Enemy, or her professed Toad-eater. How much more
amiable are women in that particular! One man may say forty civil
things to another without our supposing that he is ever paid for it,
and provided he does his Duty by our sex, we care not how Polite he is
to his own."
"Baum, L. Frank (Lyman Frank)","Dorothy couldn't quite understand this, so she said nothing more on the
subject and presently had a new reason to marvel. For when they had
quite finished their meal table and contents disappeared in a flash."
"Alcott, Louisa May","   AUTHOR OF ""LITTLE MEN,"" ""LITTLE WOMEN,"" ""MAY
        FLOWERS,"" ""POPPIES AND WHEAT,"" ETC."
"Balzac, Honoré de","Lafouraille
No time for sentiment, or dilly-dallying, they are on our track and
are mounted."
"Balzac, Honoré de","The Duke
My God! (He sinks back into an armchair.) What have I done?"
"Balzac, Honoré de","The Duke
He has a father, then?"
"Balzac, Honoré de","The Duke
Remember, that you must furnish proofs."
"Balzac, Honoré de","
SCENE NINTH.
The same persons, the Duchesse de Christoval and the Princesse
d'Arjos."
"Barrie, J. M. (James Matthew)","""Well, she could send 'The Prairie Hunters.'"""
"Balzac, Honoré de","Raoul
By any means possible."
"Barrie, J. M. (James Matthew)","""For a really long novel?"""
"Balzac, Honoré de","Vautrin
You see my meaning, and your anxiety tells me that she has made her
choice. I tremble to ask further, as much as you do to answer. Ah! if
only the young man whom your daughter loves were a foreigner, rich,
apparently without family, and bent on concealing the name of his
native land!"
"Balzac, Honoré de","Joseph
What! Do you mean monsieur the marquis? I will have nothing to do with
it."
"Baum, L. Frank (Lyman Frank)","It seemed to Ervic that he had walked miles and miles. Indeed the moon
sank low and day was beginning to dawn when finally he discovered by
the roadside a pretty little cottage, painted purple with white
trimmings. It was a lonely place--no other buildings were anywhere
about and the ground was not tilled at all. No farmer lived here, that
was certain. Who would care to dwell in such an isolated place?"
"Austen, Jane",“Have you been long in Essex Ma’am?”
"Baum, L. Frank (Lyman Frank)","""No, no, Dorothy, that wouldn't do at all. Instead of happiness your
plan would bring weariness to the world. If every one could wave a wand
and have his wants fulfilled there would be little to wish for. There
would be no eager striving to obtain the difficult, for nothing would
then be difficult, and the pleasure of earning something longed for,
and only to be secured by hard work and careful thought, would be
utterly lost. There would be nothing to do you see, and no interest in
life and in our fellow creatures. That is all that makes life worth our
while--to do good deeds and to help those less fortunate than
ourselves."""
"Balzac, Honoré de","Vautrin
I thought our star was setting; but it is still in the ascendant."
"Austen, Jane",The enclosed LETTER
"Balzac, Honoré de","The Duchess
Is he not the man of your choice?"
"Austen, Jane","“Ah! my dear Cousin replied I to him, such noble behaviour as this,
must melt the heart of any woman however obdurate it may naturally be;
and could the divine Henrietta but hear your generous wishes for her
happiness, all gentle as is her mind, I have not a doubt but that she
would pity your affection and endeavour to return it.” “Oh! Cousin
answered he, do not endeavour to raise my hopes by such flattering
assurances. No, I cannot hope to please this angel of a Woman, and the
only thing which remains for me to do, is to die.” “True Love is ever
desponding replied I, but _I_ my dear Tom will give you even greater
hopes of conquering this fair one’s heart, than I have yet given you,
by assuring you that I watched her with the strictest attention during
the whole day, and could plainly discover that she cherishes in her
bosom though unknown to herself, a most tender affection for you.”"
"Balzac, Honoré de","Raoul
You can do nothing."
"Baum, L. Frank (Lyman Frank)",The Three Adepts
"Barrie, J. M. (James Matthew)",And the conversation ends with the comment:
"Barrie, J. M. (James Matthew)","Take a holiday in bed, if only to discover what an angel your wife is."
"Baum, L. Frank (Lyman Frank)","The others, too, seemed to think the Wizard's plan the best, and Glinda
herself commended it, so on they marched toward the line of palm trees
that hid the Skeezers' lake from view."
"Baum, L. Frank (Lyman Frank)","""It may be some kind of radium,"" said the Wizard."
"Balzac, Honoré de","The Duchess (to the footman)
Let him come in."
"Balzac, Honoré de","Joseph
They quarreled twenty years ago."
"Baum, L. Frank (Lyman Frank)","Perhaps the most splendidly dressed of all those present was a great
frog as large as a man, called the Frogman, who was noted for his wise
sayings. He had come to the Emerald City from the Yip Country of Oz and
was a guest of honor. His long-tailed coat was of velvet, his vest of
satin and his trousers of finest silk. There were diamond buckles on
his shoes and he carried a gold-headed cane and a high silk hat. All of
the bright colors were represented in his rich attire, so it tired
one's eyes to look at him for long, until one became used to his
splendor."
"Baum, L. Frank (Lyman Frank)","Until now Ervic could see over the bent form of the ape, but suddenly
the form, with its back to him, seemed to straighten up and blot out
the cupboard of drawers. The ape had changed to the form of a woman,
dressed in the pretty Gillikin costume, and when she turned around he
saw that it was a young woman, whose face was quite attractive."
"Baum, L. Frank (Lyman Frank)","""I wonder why they did that?"" mused Dorothy. ""A wall would keep folks
out anyhow, whether it could be seen or not, so there wasn't any use
making it invisible. Seems to me it would have been better to have left
it solid, for then no one would have seen the entrance behind it. Now
anybody can see the entrance, as we did. And prob'bly anybody that
tries to go up the stairs gets bumped, as we did."""
"Balzac, Honoré de","Vautrin
The only tie that binds me to the world, to life, is this bright link,
purer than gold."
"Alcott, Louisa May","""Never ill! how nice that must be! I'm always having colds and
headaches, and fusses of some kind. What do you do to keep well,
Rebecca?"" asked Emily, watching her with interest, as she came in to
remove the tray."
"Baum, L. Frank (Lyman Frank)","""No, dear; I'm sorry that such magic is beyond my power,"" confessed her
fairy friend."
"Austen, Jane","“Victuals and Drink! (replied my Husband in a most nobly contemptuous
Manner) and dost thou then imagine that there is no other support for
an exalted mind (such as is my Laura’s) than the mean and indelicate
employment of Eating and Drinking?”"
"Baum, L. Frank (Lyman Frank)","Finally the good Sorceress paused and drew a ring from her finger,
handing it to Dorothy."
"Balzac, Honoré de","Vautrin
Well, ladies, I should have been either hanged by him, as a rebel, or
hailed by others as the hero of an emancipated nation, and here I am.
The sudden arrival of Amoagos, at the head of his miners, decided the
question. The safety of his friend, the Duc de Christoval, was the
reward of his interference. Between ourselves, the Emperor Iturbide,
my master, is no more than a figurehead; the future of Mexico is
entirely in the hands of the aged Amoagos."
"Alcott, Louisa May","Mrs. Spenser was both surprised and touched by the girl's look, words,
and manner, and her respect much increased by the courage and good
temper with which she saw her lovely castle in the air vanish like
smoke, leaving the hard reality looking harder than ever, after this
little flight into the fairy regions of romance."
"Balzac, Honoré de","Vautrin
I angling for a dowry?"
"Baum, L. Frank (Lyman Frank)","
Chapter Twenty"
"Baum, L. Frank (Lyman Frank)","Queen Coo-ee-oh gave the girl a supercilious look. Then she turned
again to Ozma."
"Austen, Jane","“If that is the case replied I, I have nothing more to say against him,
and if as you say he is an informed young Man and can write a good
Love-letter, I am sure I have no reason to find fault with him for
admiring me, tho’ perhaps I may not marry him for all that Lady
Scudamore.”"
"Balzac, Honoré de","The Duchesse de Christoval
I come in this way that there may be no formality between us."
"Austen, Jane","“Oh! trust me for that; (replied I). Come I will begin with the
eldest—with Matilda. Shall I, William?” (I looked as cunning as I could
when I said it, in order to shame him)."
"Baum, L. Frank (Lyman Frank)","""No,"" said the Skeezer, ""I don't understand magic and if I did I would
not try to imitate your skill. You are a wonderful Yookoohoo, while I
am only a common Skeezer."""
"Austen, Jane","I am my dear Neice
Your affectionate Aunt
The Author."
"Baum, L. Frank (Lyman Frank)","Another counsellor was Scraps, the Patchwork Girl of Oz, who was made
of a gaudy patchwork quilt, cut into shape and stuffed with cotton.
This Patchwork Girl was very intelligent, but so full of fun and mad
pranks that a lot of more stupid folks thought she must be crazy.
Scraps was jolly under all conditions, however grave they might be, but
her laughter and good spirits were of value in cheering others and in
her seemingly careless remarks much wisdom could often be found."
"Baum, L. Frank (Lyman Frank)","
From the top of the hill Ozma and Dorothy looked down into the valley
beyond and were surprised to find it filled with a floating mist that
was as dense as smoke. Nothing in the valley was visible except these
rolling waves of mist, but beyond, on the other side, rose a grassy
hill that appeared quite beautiful."
"Austen, Jane","“Oh! how I admire the sweet sensibility of your Soul, and as I would
not for Worlds wound it too deeply, I will be silent.”"
"Alcott, Louisa May","""No, I don't, but I ought to. Mother isn't as strong as she used to be,
and there's a sight to do, and the children to be brought up, and the
mortgage to be paid off; so if _I_ don't fly round, who will? We are
doing real well now, for Mr. Walker manages the farm and gives us our
share, so our living is all right; then boarders in summer and my school
in winter help a deal, and every year the boys can do more, so I'd be a
real sinner to complain if I do have to step lively all day."""
"Austen, Jane","“Your Freindship for my Daughter has indeed been most powerfully
exerted by throwing her into the arms of an unprincipled
Fortune-hunter.” (replied he)"
"Alcott, Louisa May","""I don't mind much, but I was scared for a minute. No one knows but
Mother, and she laughs at me, though she don't care if it makes me
happy. I'm glad you like my scribbling, but really I never think or hope
of being anybody. I couldn't, you know! but it's real nice to have you
say I _might_ and to make believe for a little while."""
"Barrie, J. M. (James Matthew)",
"Baum, L. Frank (Lyman Frank)","""I don't know exactly what that means,"" replied Reera musingly, ""but as
no Adept at Magic is as powerful as Yookoohoo, I'll add that to the
transformation."""
"Balzac, Honoré de","The Duchess
Joseph!"
"Balzac, Honoré de","
SCENE FIFTH."
"Balzac, Honoré de","Joseph
That blasted girl! We would have been down in our luck if she had seen
us."
"Balzac, Honoré de","Vautrin
What is thought of them in the servants' hall?"
"Austen, Jane",ELIZABETH
"Balzac, Honoré de","Joseph
Oh, he whose mark is in the garden."
"Balzac, Honoré de","The Duchess
My whole fortune for his life!"
"Baum, L. Frank (Lyman Frank)","""Take care! Take care!"" cried several voices, coming from the kittens
and chipmunks. ""If you touch anything we'll tell the Yookoohoo!"""
"Balzac, Honoré de","Philosopher
We are satisfied."
"Balzac, Honoré de",
"Baum, L. Frank (Lyman Frank)","The Su-dic stopped short and looked at the overturned vessel with a
rueful countenance."
"Baum, L. Frank (Lyman Frank)","""A fool you were, and a fool you are!"" laughed the Su-dic, dancing
madly in his delight. And then he carelessly tipped over the other
copper vessel with his heel and its contents spilled on the sands and
were lost to the last drop."
"Balzac, Honoré de","Saint-Charles
I ask pardon of your grace; but people without passions cannot know
much. Would you have the goodness to tell me whether this young man is
sincerely attached to Mademoiselle de Christoval?"
"Baum, L. Frank (Lyman Frank)","""Yes; but the machinery works by magic, and Coo-ee-oh would never share
her secret power with any one of us."""
"Balzac, Honoré de","Joseph (aside)
The look of that man is very distasteful to me. (To the duke) The
Chevalier de Saint-Charles."
"Baum, L. Frank (Lyman Frank)",   *     *     *     *     *
"Baum, L. Frank (Lyman Frank)","""Well, I do not think the Flathead people are as much to blame as their
Supreme Dictator,"" was the answer. ""If he is removed from power and his
unlawful magic taken from him, the people will probably be good and
respect the laws of the Land of Oz, and live at peace with all their
neighbors in the future."""
"Baum, L. Frank (Lyman Frank)","They got out their brass band and a grand procession escorted Ozma and
Dorothy to the palace, where all of Coo-ee-oh's former servants were
eager to wait upon them. Ozma invited Lady Aurex to stay at the palace
also, for she knew all about the Skeezers and their island and had also
been a favorite of the former Queen, so her advice and information were
sure to prove valuable."
"Balzac, Honoré de","The Marquis
Ah, mother dear, and are you come to witness my defeat? All is ended.
The De Christoval family has trifled with us. This gentleman (he
points to Vautrin) represents both families."
"Balzac, Honoré de","The Marquis
Very well, monsieur; to-morrow at eight o'clock, we meet at the
terrace of Saint-Germain, and drive from there to the forest."
"Balzac, Honoré de","Saint-Charles
Your grace and I perfectly understand each other. But what is to be
the main object of my investigations?"
"Balzac, Honoré de","Jacques Collin, known as Vautrin
The Duc de Montsorel
The Marquis Albert de Montsorel, son to Montsorel
Raoul de Frascas
Charles Blondet, known as the Chevalier de Saint-Charles
Francois Cadet, known as the Philosopher
Fil-de-Soie
Buteux
Philippe Boulard, known as Lafouraille
A Police Officer
Joseph Bonnet, footman to the Duchesse de Montsorel
The Duchesse de Montsorel (Louise de Vaudrey)
Mademoiselle de Vaudrey, aunt to the Duchesse de Montsorel
The Duchesse de Christoval
Inez de Christoval, Princesse D'Arjos
Felicite, maid to the Duchesse de Montsorel
Servants, Gendarmes, Detectives, and others"
"Barrie, J. M. (James Matthew)","""Not she,"" said Janet, uneasily."
"Balzac, Honoré de","Lafouraille (as he leaves the room)
Oh! our veritable emperor."
"Austen, Jane","
There is a pattern for a Love-letter Matilda! Did you ever read such a
master-piece of Writing? Such sense, such sentiment, such purity of
Thought, such flow of Language and such unfeigned Love in one sheet?
No, never I can answer for it, since a Musgrove is not to be met with
by every Girl. Oh! how I long to be with him! I intend to send him the
following in answer to his Letter tomorrow."
"Balzac, Honoré de","
SCENE NINTH.
The Marquis and Raoul; later, Vautrin."
"Alcott, Louisa May","""It won't! ever so many folks have taken roots away, but they never
thrive in gardens as they do on the hills where they belong. So I tell
'em to leave the dear bushes alone, and come up here and enjoy 'em in
their own place. You might keep a plant of it in your hot-house, and it
would blow I dare say; but it would never be half so lovely as my acres
of them, and I guess it would only make you sad, seeing it so far from
home, and pale and pining,"" answered Becky, with her eyes on the green
slopes where the mountain-laurel braved the wintry snow, and came out
fresh and early in the spring."
"Baum, L. Frank (Lyman Frank)","""Well, I s'pose I ought to know that, having lived so long in the Land
of Oz,"" replied Dorothy; ""but I can't do any magic at all, an' so I
can't figure out e'zactly how you an' Glinda an' the Wizard do it."""
"Barrie, J. M. (James Matthew)","""Oh, deed it's a wonder he wasn't married long since, but the one he
wanted wouldn't have him, and the ones that want him he won't take. He's
an ill man to please."""
"Barrie, J. M. (James Matthew)","J. M. BARRIE,"
"Balzac, Honoré de","Lafouraille
In good German we call that spying."
"Baum, L. Frank (Lyman Frank)","This interested Ozma, of course, but it didn't interest Dorothy very
much, so the little girl ran over to a big table on which was lying
open Glinda's Great Book of Records."
"Baum, L. Frank (Lyman Frank)",
"Balzac, Honoré de","Vautrin
You, Buteux, you old malefactor, carried off the opera-glass of the
Princesse d'Arjos the evening she set down your young master at our
gate."
"Balzac, Honoré de","Joseph
It seems to me that I am not unreasonable to ask what risk I am to
run, and what profit is to accrue to me."
"Balzac, Honoré de","The Duchesse de Montsorel (scrutinizing Vautrin)
Is it through this gentleman that all your doubts have been satisfied?
Who is he?"
"Barrie, J. M. (James Matthew)","""I have no appetite."""
"Baum, L. Frank (Lyman Frank)","""Will you please take us to the opposite hillside? We are afraid to
venture into the mist. I am Princess Ozma of Oz, and this is my friend
Dorothy, a Princess of Oz."""
"Baum, L. Frank (Lyman Frank)",
"Balzac, Honoré de","Mademoiselle de Vaudrey
What do you propose doing?"
"Balzac, Honoré de","Joseph
Oh! don't talk to me about that man, you make me shudder."
"Baum, L. Frank (Lyman Frank)","Ervic watched. He rested himself by leaning over the bow of the boat,
his face near to the moonlit water, and thought dreamily of the day's
surprising events and wondered what would happen to the prisoners in
the Great Dome."
"Balzac, Honoré de","Saint-Charles
And did she find out?"
"Austen, Jane","
LETTER the NINTH
Mrs MARLOWE to Miss LUTTERELL"
"Baum, L. Frank (Lyman Frank)",The Sorceress now said to the boat:
"Balzac, Honoré de","Mademoiselle de Vaudrey
Louise, you love the child you have never seen, and hate him who is
before your eyes. Ah! you must tell the reason of your hatred for
Albert, if you would retain my esteem and my affection."
"Barrie, J. M. (James Matthew)","
LIFE IN A COUNTRY MANSE."
"Baum, L. Frank (Lyman Frank)","Ervic noticed her right hand was closed, as if she held something in
it. She shut the cupboard door, bent over the crocodile and in a moment
the creature had changed to a red wolf. It was not pretty even now, and
the wolf crouched beside its mistress as a dog might have done. Its
teeth looked as dangerous as had those of the crocodile."
"Balzac, Honoré de","Philosopher
We'll take it without a murmur."
"Balzac, Honoré de","
Curtain to the Fourth Act."
"Balzac, Honoré de","Raoul
Our happiness! (Aside) It is impossible to dissemble. (Aloud) In the
name of our common love I implore you to believe in my loyalty."
"Balzac, Honoré de","Buteux
If the gang knew that for the last six months I have been disguising
myself as an old porter, without any object, I should be disgraced. If
I am willing to risk my neck, it is that I may give bread to my Adele,
whom you have forbidden me to see, and who for six months must have
been as dry as a match."
"Baum, L. Frank (Lyman Frank)","On entering the tent they found a table set for two, with snowy linen,
bright silver and sparkling glassware, a vase of roses in the center
and many dishes of delicious food, some smoking hot, waiting to satisfy
their hunger. Also, on either side of the tent were beds, with satin
sheets, warm blankets and pillows filled with swansdown. There were
chairs, too, and tall lamps that lighted the interior of the tent with
a soft, rosy glow."
"Austen, Jane",“And what did he say.”
"Baum, L. Frank (Lyman Frank)","""Why the boat would enter the room filled with water and after the
outer door was closed a word of command started a pump which pumped all
the water from the room. Then the boat would open and Coo-ee-oh could
enter the basement."""
"Austen, Jane","
The Character of this Prince has been in general very severely treated
by Historians, but as he was a _York_, I am rather inclined to suppose
him a very respectable Man. It has indeed been confidently asserted
that he killed his two Nephews and his Wife, but it has also been
declared that he did _not_ kill his two Nephews, which I am inclined to
beleive true; and if this is the case, it may also be affirmed that he
did not kill his Wife, for if Perkin Warbeck was really the Duke of
York, why might not Lambert Simnel be the Widow of Richard. Whether
innocent or guilty, he did not reign long in peace, for Henry Tudor E.
of Richmond as great a villain as ever lived, made a great fuss about
getting the Crown and having killed the King at the battle of Bosworth,
he succeeded to it."
